Endereço,Latitude,Longitude,Região
"Rua JOSE MANOEL DE ALMEIDA, 669, Jd. Europa, Vargem Grande Paulista",-21.83222,-46.89361,"Centro, Vargem Grande do Sul, São Paulo, Brasil"
"Avenida EID MANSUR, 18, Parque São George, Cotia",-23.60389,-46.91917,"Jardim Dinorah, Cotia, São Paulo, Brasil"
"Rua PIEMONTESES, DOS, 108, Jardim do Lago, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida GIOVANNI GRONCHI, 5930, Vila Andrade, São Paulo",-23.6316602,-46.7375626,"Vila Andrade, São Paulo, São Paulo, Brasil"
"Avenida DOUTOR CANDIDO MOTTA FILHO, 176, CIDADE SAO FRANCISCO, São Paulo",-20.36457,-50.67463,"São Francisco, São Paulo, Brasil"
"Avenida JOAO PAULO ABLAS, 45, Jardim da Glória, Cotia",-23.5977232,-46.8415226,"Vila Santo Antônio, Cotia, São Paulo, Brasil"
"Avenida PROFESSOR JOAQUIM BARRETO, 1133, Centro, Cotia",-23.60389,-46.91917,"Jardim Dinorah, Cotia, São Paulo, Brasil"
"Rua DOMINGOS ROSALIA, 15, Jardim São Jorge, São Paulo",-22.11667,-51.56667,"Álvares Machado, São Paulo, Brasil"
"Avenida Do Vaticano, 39, Jd João XXIII, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua PADRE JUAN DE SOLORZANO, 185, Jardim João XXIII, São Paulo",-23.6034696,-46.7906707,"Jardim João XXIII, São Paulo, São Paulo, Brasil"
"Rua DR. ULPIANO DA COSTA MANSO, 151, Butantã, São Paulo",-23.57374,-46.71936,"Butantã, São Paulo, São Paulo, Brasil"
"Avenida nacoes unidas, 13947, Vila Cordeiro, São Paulo",-22.48194,-47.45667,"Cordeirópolis, São Paulo, Brasil"
"Avenida PROFESSOR FRANCISCO MORATO, 3030, BUTANTA, São Paulo",-23.5769521,-46.7078899,"Butantã, São Paulo, São Paulo, Brasil"
"Avenida GIOVANNI GRONCHI, 2799, Morumbi, São Paulo",-23.6094573,-46.7265562,"Morumbi, São Paulo, São Paulo, Brasil"
"Avenida MAJ.SYLVIO DE MAGALHAES PADILHA, 16741, JARDIM MORUMBI, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida MINISTRO LAUDO FERREIRA DE CAMARGO, 190, Jardim Peri Peri, São Paulo",-7.60333,-43.02556,"Itaueira, Piauí, Brasil"
"Rua PASQUALE GALUPI, 1396, PARAISOPOLIS, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua RUDOLF LUTZE, 227, PARAISOPOLIS, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua Piracuama, 454, Perdizes, São Paulo",-23.5381537,-46.6832457,"Sumaré, São Paulo, São Paulo, Brasil"
"Rua PALESTRA ITALIA, 500, Perdizes, São Paulo",-23.5266821,-46.680867,"Barra Funda, São Paulo, São Paulo, Brasil"
"Avenida BOLONHA, 200, JAGUARE, São Paulo",-23.5485817,-46.7469144,"Jaguaré, São Paulo, São Paulo, Brasil"
"Rua TURIASSU, 1205, Perdizes, São Paulo",-23.5315747,-46.6746778,"Barra Funda, São Paulo, São Paulo, Brasil"
"Rua AURÉLIA, 1973, Vila Romana, São Paulo",-23.5224372,-46.6976975,"Vila Romana, São Paulo, São Paulo, Brasil"
"Avenida Pompeia, 1115, Vila Pompéia, São Paulo",-23.5339573,-46.6874548,"Pompéia, São Paulo, São Paulo, Brasil"
"Rua GUARICANGA, 321, Lapa, São Paulo",-23.5227167,-46.7104308,"Alto da Lapa, São Paulo, São Paulo, Brasil"
"Rua Corrientes, 29, Lapa, São Paulo",-23.5215035,-46.7111832,"Alto da Lapa, São Paulo, São Paulo, Brasil"
"Avenida POMPEIA, 2180, Vila  Pompeia, São Paulo",-23.5424776,-46.6903372,"Vila Anglo-Brasileira, São Paulo, São Paulo, Brasil"
"Rua Pio XI, 2360, Lapa, São Paulo",-23.5406793,-46.7169032,"Boaçava, São Paulo, São Paulo, Brasil"
"Rua DUILIO, 636, Agua Branca, São Paulo",-23.5254777,-46.6931616,"Bairro Siciliano, São Paulo, São Paulo, Brasil"
"Rua BARAO DE TEFE, 79, Agua Branca, São Paulo",-23.2476,-47.63168,"Boituva, São Paulo, Brasil"
"Rua HERBART, 47, Lapa, São Paulo",-23.5197686,-46.7014124,"Água Branca, São Paulo, São Paulo, Brasil"
"Rua MATHEUS GROU, 159, Pinheiros, São Paulo",-23.56729,-46.69232,"Pinheiros, São Paulo, São Paulo, Brasil"
"Rua PEDRO CRISTI, 89, Pinheiros, São Paulo",-23.5656156,-46.6924088,"Pinheiros, São Paulo, São Paulo, Brasil"
"Rua DEPUTADO LACERDA FRANCO, 553, Pinheiros, São Paulo",-23.5606538,-46.6928092,"Pinheiros, São Paulo, São Paulo, Brasil"
"Rua ALIANÇA LIBERAL, 322, Vila Leopoldina, São Paulo",-23.5222368,-46.7253714,"Bela Aliança, São Paulo, São Paulo, Brasil"
"Rua Nestor Pestana, 40, Consolação, São Paulo",-23.55242,-46.65735,"Consolação, São Paulo, São Paulo, Brasil"
"Rua FREI CANECA, 569, CONSOLACAO, São Paulo",-23.5541784,-46.6524183,"Consolação, São Paulo, São Paulo, Brasil"
"Avenida PAULISTA, 854, Bela Vista, São Paulo",-23.5656701,-46.6507273,"Morro dos Ingleses, São Paulo, São Paulo, Brasil"
"Rua SANTO ANTONIO, 489, Bela Vista, São Paulo",-23.3731639,-45.6717908,"Bela Vista, Paraibuna, São Paulo, Brasil"
"Avenida PAULISTA, 2064, Bela Vista, São Paulo",-23.5698798,-46.6459798,"Morro dos Ingleses, São Paulo, São Paulo, Brasil"
"Rua José Getulio, 142, Liberdade, São Paulo",-23.5672233,-46.6360806,"Liberdade, São Paulo, São Paulo, Brasil"
"Avenida REBOUCAS, 1001, CERQUEIRA CESAR, São Paulo",-23.5603809,-46.6713758,"Cerqueira César, São Paulo, São Paulo, Brasil"
"Rua CAPITÃO MOR PASSOS, 228, Pari, São Paulo",-23.527587,-46.6153585,"Canindé, São Paulo, São Paulo, Brasil"
"Rua PAULO ANDRIGHETTI, 470, Pari, São Paulo",-23.5263355,-46.6061916,"Pari, São Paulo, São Paulo, Brasil"
"Rua Martim Francisco, 723, Santa Cecília, São Paulo",-23.5429535,-46.6545662,"Higienópolis, São Paulo, São Paulo, Brasil"
"Rua ANHAIA, 748, Bom Retiro, São Paulo",-23.5233746,-46.6455506,"Bairro da Luz, São Paulo, São Paulo, Brasil"
"Rua MARTIM FRANCISCO, 753, Vila Buarque, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida ANGELICA, 526, SANTA CECILIA, São Paulo",-23.5374825,-46.654665,"Santa Cecília, São Paulo, São Paulo, Brasil"
"Rua RIBEIRO DE LIMA, 610, Bom Retiro, São Paulo",-23.5312906,-46.6386411,"Bairro da Luz, São Paulo, São Paulo, Brasil"
"Rua RODRIGUES SANTOS, 673, Pari, São Paulo",-23.533157,-46.6192242,"Canindé, São Paulo, São Paulo, Brasil"
"Rua JOÃO TEODORO, 842, Brás, São Paulo",-23.5345723,-46.6244535,"Brás, São Paulo, São Paulo, Brasil"
"Rua ELIZA WHITAKER, 119, BRAS, São Paulo",-23.5359001,-46.6210442,"Vila Sá Barbosa, São Paulo, São Paulo, Brasil"
"Rua DJALMA DUTRA, 266, Luz, São Paulo",-23.5337146,-46.6286686,"Vila Sá Barbosa, São Paulo, São Paulo, Brasil"
"Rua São Caetano, 352, Luz, São Paulo",-23.535119,-46.6296567,"Bairro da Luz, São Paulo, São Paulo, Brasil"
"Rua SAO CAETANO, 638, Luz, São Paulo",-23.5355583,-46.6268669,"Vila Sá Barbosa, São Paulo, São Paulo, Brasil"
"Rua ALEXANDRINO PEDROSO, 247, Canindé, São Paulo",-23.5328079,-46.6210471,"Canindé, São Paulo, São Paulo, Brasil"
"Rua ALEXANDRINO PEDROSO, 264, CANINDE, São Paulo",-23.5329151,-46.6212143,"Canindé, São Paulo, São Paulo, Brasil"
"Rua RODRIGUES DOS SANTOS, 91, BRAS, São Paulo",-23.5390004,-46.6208958,"Brás, São Paulo, São Paulo, Brasil"
"Rua LIBERO BADARO, 480, Centro, São Paulo",-21.2639265,-48.5110736,"Jardim Irina, Monte Alto, São Paulo, Brasil"
"Rua BARAO DE LADARIO, 312, BRAS, São Paulo",-23.5393113,-46.6190086,"Brás, São Paulo, São Paulo, Brasil"
"Rua General Chagas Santos, 815, Vila da Saúde, São Paulo",-23.6165734,-46.6288974,"Vila do Bosque, São Paulo, São Paulo, Brasil"
"Avenida ARMANDO FERRENTINI, 406, Aclimação, São Paulo",-23.5746722,-46.6351096,"Liberdade, São Paulo, São Paulo, Brasil"
"Rua DOMINGOS DE MORAIS, 2564, Vila Mariana, São Paulo",-23.5990047,-46.6369432,"Vila Mariana, São Paulo, São Paulo, Brasil"
"Rua DOMINGOS DE MORAIS, 1999, Vila Mariana, São Paulo",-23.593603,-46.6360456,"Vila Mariana, São Paulo, São Paulo, Brasil"
"Rua LUIS GOIS, 1877, MIRANDOPOLIS, São Paulo",-23.6040646,-46.6460655,"Mirandópolis, São Paulo, São Paulo, Brasil"
"Avenida Onze de Junho, 744, Vila Clementino, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua VIGARIO ALBERNAZ, 695, Vila Gumercindo, São Paulo",-23.6067941,-46.6214627,"Vila Gumercindo, São Paulo, São Paulo, Brasil"
"Rua DOUTOR BACELAR, 1231, Vila Clementino, São Paulo",-23.596051,-46.647796,"Vila Clementino, São Paulo, São Paulo, Brasil"
"Rua GASPAR FERNANDES, 416, Vila Monumento, São Paulo",-23.5752879,-46.6161175,"Vila Monumento, São Paulo, São Paulo, Brasil"
"Rua ABILIO SOARES, 981, Paraíso, São Paulo",-23.5770961,-46.6504672,"Paraíso, São Paulo, São Paulo, Brasil"
"Alameda JOAQUIM EUGENIO DE LIMA, 1682, Jardim Paulista, São Paulo",-23.5740007,-46.658657,"Cerqueira César, São Paulo, São Paulo, Brasil"
"Avenida LINS DE VASCONCELOS, 73, Cambuci, São Paulo",-23.5734968,-46.6229475,"Cambuci, São Paulo, São Paulo, Brasil"
"Rua TUTÓIA, 430, Paraíso, São Paulo",-23.5783097,-46.6510606,"Paraíso, São Paulo, São Paulo, Brasil"
"Rua DOMINGOS DE MORAIS, 286, Vila Mariana, São Paulo",-23.5796817,-46.6404127,"Paraíso, São Paulo, São Paulo, Brasil"
"Rua CACHOEIRA DOURADA, 130, Jardim Maria Estela, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua DOM VILARES, 1700, Vila das Merces, São Paulo",-23.6243148,-46.605193,"Vila das Mercês, São Paulo, São Paulo, Brasil"
"Rua ALVARO DO VALE, 412, Ipiranga, São Paulo",-23.6013383,-46.5935479,"Ipiranga, São Paulo, São Paulo, Brasil"
"Rua CORONEL FRANCISCO INACIO, 96, Vila Moinho Velho, São Paulo",-23.6098521,-46.6010986,"Moinho Velho, São Paulo, São Paulo, Brasil"
"Rua SALVADOR PIRES DE LIMA, 542, Sacoma, São Paulo",-23.6140251,-46.5955731,"Sacomã, São Paulo, São Paulo, Brasil"
"Avenida NAZARE, 1299, Ipiranga, São Paulo",-23.5954603,-46.6097547,"Vila Dom Pedro I, São Paulo, São Paulo, Brasil"
"Avenida Padre Arlindo Vieira, 3255, Sacoma, São Paulo",-23.6468753,-46.6108506,"Jardim Imperador (Zona Sul), São Paulo, São Paulo, Brasil"
"Rua TITO OLIANI, 1010, SAO JOAO CLIMARO, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua Dr.Ivo Define Frasca, 95/99, Vila Olímpia, São Paulo",-23.593873,-46.6738906,"Vila Olímpia, São Paulo, São Paulo, Brasil"
"Avenida PADRE ANTÔNIO JOSÉ DOS SANTOS, 296, Cidade Monções, São Paulo",-20.85028,-50.09167,"Centro, Monções, São Paulo, Brasil"
"Rua CANARIO, 390, INDIANOPOLIS, São Paulo",-23.5996044,-46.6653552,"Indianópolis, São Paulo, São Paulo, Brasil"
"Avenida VEREADOR JOSÉ DINIZ, 2329, Brooklin Paulista, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida JURUCE, 575, Indianópolis, São Paulo",-23.6098536,-46.6606524,"Indianópolis, São Paulo, São Paulo, Brasil"
"Avenida ALCIDES SANGIRARDI, 280, Cidade Jardim, São Paulo",-22.19278,-46.74667,"Centro, Espírito Santo do Pinhal, São Paulo, Brasil"
"Rua PAIS DE ARAUJO, 119, Itaim Bibi, São Paulo",-23.5836031,-46.6812825,"Vila Olímpia, São Paulo, São Paulo, Brasil"
"Avenida MASCOTE, 429, Vila Mascote, São Paulo",-23.6486173,-46.6656941,"Jabaquara, São Paulo, São Paulo, Brasil"
"Avenida SANTA CATARINA, 2343, Vila Mascote, São Paulo",-23.6446138,-46.6649141,"Jabaquara, São Paulo, São Paulo, Brasil"
"Rua JOAQUIM FLORIANO, 254, Itaim Bibi, São Paulo",-23.5838463,-46.672325,"Vila Olímpia, São Paulo, São Paulo, Brasil"
"Avenida BRASILIA, 581, Campanário, Diadema",-23.6682373,-46.6185895,"Campanário, Diadema, São Paulo, Brasil"
"Rua SANTA BERNADETE, 344, Canhema, Diadema",-23.6728106,-46.6037944,"Canhema, Diadema, São Paulo, Brasil"
"Avenida BRASILIA, 887, Jd.Campanario, Diadema",-23.68611,-46.62278,"Centro, Diadema, São Paulo, Brasil"
"Rua AFONSO MONTEIRO DA CRUZ, 1150, Serraria, Diadema",-23.68611,-46.62278,"Centro, Diadema, São Paulo, Brasil"
"Avenida AVENIDA DO TABOAO, 3611, TABOAO, São Bernardo do Campo",-23.6614734,-46.6050536,"Taboão, São Bernardo do Campo, São Paulo, Brasil"
"Avenida ANTONIO SYLVIO CUNHA BUENO, 386, JARDIM UNIAO, Diadema",-23.68611,-46.62278,"Centro, Diadema, São Paulo, Brasil"
"Avenida ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 4.684, Vila do Encontro, São Paulo",-23.6531957,-46.6369427,"Jabaquara, São Paulo, São Paulo, Brasil"
"Rua LUIZ DE VASCONCELOS (JD MARILENE), 127, Vila Nogueira, Diadema",-23.68611,-46.62278,"Centro, Diadema, São Paulo, Brasil"
"Avenida DO CAFÉ, 156, Vila Guarani, São Paulo",-23.635652,-46.6399683,"Vila Guarani, São Paulo, São Paulo, Brasil"
"Avenida PRESIDENTE JUSCELINO, 333, Piraporinha, Diadema",-23.6830194,-46.5922176,"Piraporinha, Diadema, São Paulo, Brasil"
"Rua PAINEIRAS, 9, Eldorado, Diadema",-23.68611,-46.62278,"Centro, Diadema, São Paulo, Brasil"
"Rua ROSARIA, 213, Vila Sacadura Cabral, Santo André",-23.6547393,-46.5561484,"Vila Sacadura Cabral, Santo André, São Paulo, Brasil"
"Avenida Jean Lieutaud, 76, Jd. Santa Tereza, Rio Grande da Serra",-23.74417,-46.39833,"Vila Arnoud, Rio Grande da Serra, São Paulo, Brasil"
"Rua PREF. CARLOS JOE CARLSON, 40, Centro, Rio Grande da Serra",-23.74417,-46.39833,"Vila Arnoud, Rio Grande da Serra, São Paulo, Brasil"
"Avenida PALMARES, 1000, Vila Palmares, Santo André",-23.6498196,-46.5614199,"Vila Palmares, Santo André, São Paulo, Brasil"
"Avenida PAPA JOAO XXIII, 555, LOTEAMENTO INDL CORAL, Mauá",-23.66778,-46.46139,"Centro, Mauá, São Paulo, Brasil"
"Rua PRESIDENTE ARTHUR DA COSTA E SILVA, 453, Parque São Vicente, Mauá",-22.7321,-43.36924,"Vila Pauline, Belford Roxo, Rio de Janeiro, Brasil"
"Avenida PEREIRA BARRETO, 42, PARAISO, Santo André",-23.6677389,-46.5334051,"Paraíso, Santo André, São Paulo, Brasil"
"Rua QUATA, S/N, Vila Palmares, Santo André",-23.6512228,-46.5596122,"Vila Palmares, Santo André, São Paulo, Brasil"
"Avenida NACOES, DAS, 1600, PARQUE NOVO ORATORIO, Santo André",-23.6408129,-46.4989662,"Parque Erasmo Assunção, Santo André, São Paulo, Brasil"
"Avenida MIRO ATILIO PEDUZZI (4 A DIVISAO), 412, TANQUE CAIO, Ribeirão Pires",-23.71056,-46.41333,"Centro Alto, Ribeirão Pires, São Paulo, Brasil"
"Rua PATAGONIA, 580, QUARTA DIVISAO, Ribeirão Pires",-23.6594892,-46.370775,"Jardim Verão, Ribeirão Pires, São Paulo, Brasil"
"Avenida DONA BENEDITA FRANCA DA VEIGA, 2464, ST BELA VISTA, Mauá",-23.6490813,-46.4208808,"Vila Feital, Mauá, São Paulo, Brasil"
"Estrada DOS CAMPONESES (JD ICARAI), 18, DOS FINCO, São Bernardo do Campo",-23.69389,-46.565,"Planalto, São Bernardo do Campo, São Paulo, Brasil"
"Estrada HENRIQUE ROSA, 670, FINCO (JD TUPA), São Bernardo do Campo",-23.69389,-46.565,"Planalto, São Bernardo do Campo, São Paulo, Brasil"
"Avenida SENADOR FLAQUER, 862, Vila Euclides, São Bernardo do Campo",-23.6927638,-46.5586558,"Centro, São Bernardo do Campo, São Paulo, Brasil"
"Avenida HUMBERTO ALENCAR CASTELO BRANCO, 3120, ALVEZ DIAS, São Bernardo do Campo",-23.69389,-46.565,"Planalto, São Bernardo do Campo, São Paulo, Brasil"
"Rua EUGENIA SA VITALE, 111, Vila Santa Luzia, São Bernardo do Campo",-23.6596337,-46.6109574,"Taboão, São Bernardo do Campo, São Paulo, Brasil"
"Avenida PEREIRA BARRETO, 1095, Vila Baeta Neves , São Bernardo do Campo",-23.6883817,-46.5483089,"Baeta Neves, São Bernardo do Campo, São Paulo, Brasil"
"Rua Lazara de Oliveira Leite, 371, Vila Jerusalém, São Bernardo do Campo",-23.69389,-46.565,"Planalto, São Bernardo do Campo, São Paulo, Brasil"
"Avenida DO TABOAO, 3841, Taboão, São Bernardo do Campo",-23.65265,-46.5912574,"Taboão, São Bernardo do Campo, São Paulo, Brasil"
"Rua ATLANTICA, 230, Jardim do Mar, São Bernardo do Campo",-23.6910052,-46.5552196,"Centro, São Bernardo do Campo, São Paulo, Brasil"
"Rua MMDC, 546, PAULICEIA, São Bernardo do Campo",-23.6747014,-46.5915321,"Paulicéia, São Bernardo do Campo, São Paulo, Brasil"
"Rua DOS VIANAS, 2781, Baeta Neves, São Bernardo do Campo",-23.707437,-46.5279233,"Baeta Neves, São Bernardo do Campo, São Paulo, Brasil"
"Alameda CASSAQUERA, 575, Santa Maria, São Caetano do Sul",-23.6281114,-46.5537109,"Santa Maria, São Caetano do Sul, São Paulo, Brasil"
"Avenida ORATORIO, DO, 5179, Jardim  Angela, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Alameda TERRACOTA, 545, CERAMICA, São Caetano do Sul",-23.6265706,-46.5808031,"Cerâmica, São Caetano do Sul, São Paulo, Brasil"
"Rua VOTORANTIM, 311, Barcelona, São Caetano do Sul",-23.6191958,-46.5520096,"Barcelona, São Caetano do Sul, São Paulo, Brasil"
"Rua SAO PAULO, 1840, Santa Paula, São Caetano do Sul",-23.6222179,-46.5634275,"Olímpico, São Caetano do Sul, São Paulo, Brasil"
"Avenida SENADOR ROBERTO SIMONSEN, 1285, CERAMICA, São Caetano do Sul",-23.6245295,-46.5750235,"Cerâmica, São Caetano do Sul, São Paulo, Brasil"
"Avenida SAPOPEMBA, 2769, VILA REGENTE FEIJO, São Paulo",-23.5652186,-46.5703631,"Água Rasa, São Paulo, São Paulo, Brasil"
"Avenida Satelite, 559 A, Cidade Satelite (São Mateus), São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida MARIA CURSI, 405, Cidade São Mateus, São Paulo",-23.60583,-46.47889,"São Mateus, São Paulo, São Paulo, Brasil"
"Rua BENEDITO JACINTO MENDES, 77, Jardim Grimaldi, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua Douradoquara, 221, Jardim Imperador, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida ARQUITETO VILANOVA ARTIGAS, 132, CONJ HABIT. TEOTONIO VILELA, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida BARONESA DE MURITIBA, 138, PARQUE SAO RAFAEL, São Paulo",-23.6260894,-46.4706679,"São Paulo, São Paulo, Brasil"
"Avenida SAPOPEMBA, 13309, Jardim Adutora, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida DOUTOR EDUARDO COTCHING, 489, Vila Formosa, São Paulo",-23.5622446,-46.5554894,"Jardim Anália Franco, São Paulo, São Paulo, Brasil"
"Rua CANUTO SARAIVA, 540, Mooca, São Paulo",-23.5634272,-46.6017851,"Mooca, São Paulo, São Paulo, Brasil"
"Avenida TRUMAIN, 608, Vila Formosa, São Paulo",-23.564728,-46.5357888,"Vila Formosa, São Paulo, São Paulo, Brasil"
"Avenida SAO LUCAS, 225, PARQUE SAO LUCAS, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua Secundino Domingues, 70, Vila Prudente, São Paulo",-23.58845,-46.5798,"Vila Prudente, São Paulo, São Paulo, Brasil"
"Rua MANAIAS, 245, Vila Zelina, São Paulo",-23.5893222,-46.5760476,"Vila Prudente, São Paulo, São Paulo, Brasil"
"Rua JOSE ZAPPI, 57, Vila Prudente, São Paulo",-23.5806907,-46.5855316,"Vila Prudente, São Paulo, São Paulo, Brasil"
"Rua DAS HERAS, 470, Vila Lucia, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida VEREADOR ABEL FERREIRA, 2022, Chacara Mafalda, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Praça CANARIAS, SN, Vila Formosa, São Paulo",-23.5666937,-46.5458712,"Vila Formosa, São Paulo, São Paulo, Brasil"
"Avenida Sapopemba, 1304, Vila Leme, São Paulo",-23.38083,-48.73085,"Paranapanema, São Paulo, Brasil"
"Rua SERRA DO JAPI, 1137, Vila Gomes Cardim, São Paulo",-23.5487034,-46.5682346,"Tatuapé, São Paulo, São Paulo, Brasil"
"Rua DOUTOR JOSE HIGINO, 111, VILA ORATORIO, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida ARICANDUVA, 5555, Vila Matilde, São Paulo",-23.5659937,-46.504011,"Vila Matilde, São Paulo, São Paulo, Brasil"
"Rua TERESINA, 319, Vila Bertioga, São Paulo",-23.85444,-46.13861,"Centro, Bertioga, São Paulo, Brasil"
"Rua SERRA DE BOTUCATU, 1703, Tatuapé, São Paulo",-23.5409791,-46.5552198,"Vila Carrão, São Paulo, São Paulo, Brasil"
"Rua DOUTOR CLEMENTINO, 51, Belenzinho, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua AZEVEDO SOARES, 2700, Vila Gomes Cardim, São Paulo",-23.5482754,-46.563284,"Vila Gomes Cardim, São Paulo, São Paulo, Brasil"
"Avenida RENATA, 346, CHACARA BELENZINHO, São Paulo",-23.5733062,-46.5413423,"Vila Formosa, São Paulo, São Paulo, Brasil"
"Avenida SOUZA BANDEIRA, 644, Vila Nhocune, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua FRANCISCA DE PAULA, 815, VILA CARRAO, São Paulo",-23.5597241,-46.5313315,"Vila Carrão, São Paulo, São Paulo, Brasil"
"Rua ITINGUCU, 771, VILA RE, São Paulo",-23.5243762,-46.5073607,"Vila Granada, São Paulo, São Paulo, Brasil"
"Rua DESEMBARGADOR CARNEIRO RIBEIRO, 439, Parque Artur Alvim, São Paulo",-23.5428163,-46.489922,"Parque das Paineiras, São Paulo, São Paulo, Brasil"
"Rua AGENOR DE BARROS, 211, Vila Ponte Rasa, São Paulo",-23.5088206,-46.4894631,"Vila Rio Branco, São Paulo, São Paulo, Brasil"
"Rua Aricá -  Mirim, 63, Vila São Francisco, São Paulo",-23.5245532,-46.4917133,"Vila São Francisco, São Paulo, São Paulo, Brasil"
"Rua PEIXOTO WERNECK, 353, Parque Artur Alvim, São Paulo",-23.5415346,-46.4868914,"Parque das Paineiras, São Paulo, São Paulo, Brasil"
"Rua OLAVO EGIDIO DE SOUZA ARANHA, 1398, Parque Cisper, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida Itaquera, 2226, V.S.Maria, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida Dos Latinos, 1264, Jd. Santa Terezinha, São Paulo",-23.36667,-49.16667,"Passo Fundo, Itaí, São Paulo, Brasil"
"Rua Dominiciano Ribeiro, 32, Cidade Líder, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida Cangaiba, 2758, Cangaíba, São Paulo",-23.5042465,-46.5146739,"Cangaíba, São Paulo, São Paulo, Brasil"
"Avenida ENGENHEIRO SOARES DE CAMARGO, 450, Cidade Patriarca, São Paulo",-23.540836,-46.5007087,"Cidade Patriarca, São Paulo, São Paulo, Brasil"
"Rua NOEL JOSE DA SILVA, 325, VILA SAO FRANCISCO ZONA LESTE, São Paulo",,,
"Avenida ITAQUERA, 6735, CIDADE LIDER, São Paulo",-23.5542277,-46.4832701,"Jardim Brasília, São Paulo, São Paulo, Brasil"
"Avenida cangaiba, 1659, CANGAIBA, São Paulo",-23.5087736,-46.5389309,"Chacara Cruzeiro do Sul, São Paulo, São Paulo, Brasil"
"Rua ITINGUCU, 705, VILA RE, São Paulo",-23.5242531,-46.5080409,"Vila Granada, São Paulo, São Paulo, Brasil"
"Rua BISPO E MARTINS, 4, JARDIM KERALUX, São Paulo",-23.481508,-46.4942037,"Ermelino Matarazzo, São Paulo, São Paulo, Brasil"
"Avenida Eng.Soares de Camargo, 349, Jardim Hercilia, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida RAGUEB CHOHFI, 7001, JARDIM TRES MARIAS, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida RAGUEB CHOHFI, 4831, Jardim Iguatemi, São Paulo",-23.5944434,-46.4386057,"Iguatemi, São Paulo, São Paulo, Brasil"
"Estrada IGUATEMI, 3000, CONJ HABITACIONAL STª ETELVINA, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Avenida dos Metarlugicos, 1111, Guaianazes, São Paulo",-23.54333,-46.41083,"Lajeado, São Paulo, São Paulo, Brasil"
"Avenida NAGIB FARAH MALUF, 100, Conj.Jose Bonifacio/Cohab II, São Paulo",-22.0,-49.0,"Iacanga, São Paulo, Brasil"
"Rua JOSE VIEIRA GUIMARAES, 130, JARDIM SANTA TERESINHA, São Paulo",-23.36667,-49.16667,"Passo Fundo, Itaí, São Paulo, Brasil"
"Avenida METALURGICOS, DOS, 2193, Cidade Tiradentes, São Paulo",-23.6022211,-46.3984506,"Cidade Tiradentes, São Paulo, São Paulo, Brasil"
"Rua PASSARO PRETO, 759, VILA PAULISTANIA, São Paulo",-22.57833,-49.40278,"Paulistânia, São Paulo, Brasil"
"Avenida NORDESTINA, 5834, Guaianazes, São Paulo",-23.54333,-46.41083,"Lajeado, São Paulo, São Paulo, Brasil"
"Rua MAXIMIANO BRANDÃO, 147, Guaianases, São Paulo",-23.54333,-46.41083,"Lajeado, São Paulo, São Paulo, Brasil"
"Rua ROQUE BARBOSA DE MIRANDA, 112, JARDIM DOS IPES, Itaquaquecetuba",-23.48611,-46.34833,"Vila Zeferina, Itaquaquecetuba, São Paulo, Brasil"
"Rua TIBURCIO DE SOUZA, 1416, Itaim Paulista, São Paulo",-23.5169989,-46.3889884,"Itaim Paulista, São Paulo, São Paulo, Brasil"
