Endereço,Latitude,Longitude,Região
"Avenida INOCENCIO SERAFICO, 2120, VILA FREIDA, Carapicuíba",-23.52272,-46.835,"Centro, Carapicuíba, São Paulo, Brasil"
"Rua LENITA, 542, Parque dos Camargos, Barueri",-23.5349426,-46.8876186,"Parque dos Camargos, Barueri, São Paulo, Brasil"
"Avenida CACHOEIRA, 125, Vl. Pindorama, Barueri",-23.4928532,-46.880312,"Vila Pindorama, Barueri, São Paulo, Brasil"
"Rua PRESIDENTE CASTELO BRANCO, 174, Jardim Sorocabano, Jandira",-23.5359134,-46.9038554,"Jardim Sorocabano, Jandira, São Paulo, Brasil"
"Rua DA PRATA, 349, Jardim dos Camargos, Barueri",-23.5025874,-46.8674979,"Jardim dos Camargos, Barueri, São Paulo, Brasil"
"Rua PADRE CICERO ROMAO BATISTA, 234, Parque Imperial, Barueri",-23.4886307,-46.8133445,"Parque Imperial, Barueri, São Paulo, Brasil"
"Rua Minas Gerais, 300, Vila Boa Vista, Barueri",-23.5011283,-46.8754334,"Vila Boa Vista, Barueri, São Paulo, Brasil"
"Avenida ZELIA, 1200, Parque dos Camargos, Barueri",-23.537259,-46.887885,"Parque dos Camargos, Barueri, São Paulo, Brasil"
"Alameda COLIBRI, 64, MORADA DOS PASSAROS, Barueri",-23.4953736,-46.9513761,"Residencial Morada dos Pássaros, Barueri, São Paulo, Brasil"
"Rua ADRIANO AUGUSTO, 275, JARDIM TIMBAUHY / ALDEIA, Barueri",-23.51139,-46.85306,"Aldeia, Barueri, São Paulo, Brasil"
"Avenida DOS SUL AMERICANOS, 57, Parque Suburbano, Itapevi",-23.54889,-46.93417,"Centro, Itapevi, São Paulo, Brasil"
"Rua HELOIZA HIDEKO KOBA, 628, Jardim Nova Itapevi, Itapevi",-23.54889,-46.93417,"Centro, Itapevi, São Paulo, Brasil"
"Rua Pedro Paulino, 28, Jardim Paulista, Itapevi",-23.54889,-46.93417,"Centro, Itapevi, São Paulo, Brasil"
"Avenida RUBENS CARAMEZ, 400, VILA AURORA, Itapevi",-23.5490681,-46.9371725,"Centro, Itapevi, São Paulo, Brasil"
"Estrada TENENTE MARQUES, 6690, CHACARA DO SOLAR I (FAZENDINHA, Santana de Parnaíba",-23.4117208,-46.8919652,"Várzea do Souza, Santana de Parnaíba, São Paulo, Brasil"
"Avenida MOACIR DA SILVEIRA, 1035, Jardim Isaura, Santana de Parnaíba",-23.4798612,-46.8921049,"Jardim Isaura, Santana de Parnaíba, São Paulo, Brasil"
"Rua CAPRICORNIO, 667, Parque Santana, Santana de Parnaíba",-23.4766029,-46.8917493,"Parque Santana Gleba 1, Santana de Parnaíba, São Paulo, Brasil"
"Avenida MARTE, 466, Alphaville, Santana de Parnaíba",-23.4621196,-46.8729998,"Centro de Apoio Alphaville 1, Santana de Parnaíba, São Paulo, Brasil"
"Avenida BRASIL, 276, JARDIM SAO LUIS, Santana de Parnaíba",-23.4432436,-46.9303006,"Chácara São Luiz Gleba 1, Santana de Parnaíba, São Paulo, Brasil"
"Avenida MOACIR DA SILVEIRA, 942, Jardim Isaura, Santana de Parnaíba",-23.4798612,-46.8921049,"Jardim Isaura, Santana de Parnaíba, São Paulo, Brasil"
"Avenida YOJIRO TAKAOKA, 4350, Alphaville, Santana de Parnaíba",-23.4675858,-46.870064,"Centro de Apoio Alphaville 1, Santana de Parnaíba, São Paulo, Brasil"
"Avenida YOJIRO TAKAOKA, 4630, ALPHAVILLE - CENTRO DE APOIO I, Santana de Parnaíba",-0.05833,-51.18167,"Área Portuária, Santana, Amapá, Brasil"
"Avenida MARCOS PENTEADO DE ULHOA RODRIGUES, 3900, TAMBORE, Santana de Parnaíba",-23.464472,-46.8640554,"Cidade Tamboré, Santana de Parnaíba, São Paulo, Brasil"
"Avenida Yojiro Takaoka, 4492, Alphaville, Santana de Parnaíba",-23.4602828,-46.8827489,"Santana de Parnaíba, São Paulo, Brasil"
"Avenida CARLOS LIVIERO, 942, Vila Liviero, São Paulo",-23.6441482,-46.5916661,"Jardim Santa Cruz, São Paulo, São Paulo, Brasil"
"Avenida CAMINHO DO MAR, 2130, Rudge Ramos, São Bernardo do Campo",-23.6681902,-46.5678122,"Rudge Ramos, São Bernardo do Campo, São Paulo, Brasil"
"Rua ALFERES BONILHA, 90, Centro, São Bernardo do Campo",-23.7147097,-46.5505715,"Centro, São Bernardo do Campo, São Paulo, Brasil"
"Avenida MARIA SERVIDEI DEMARCHI, 1911, Demarchi, São Bernardo do Campo",-23.7410206,-46.5549895,"Demarchi, São Bernardo do Campo, São Paulo, Brasil"
"Avenida SENADOR VERGUEIRO, 4527, Rudge Ramos, São Bernardo do Campo",-23.6609622,-46.5655105,"Rudge Ramos, São Bernardo do Campo, São Paulo, Brasil"
"Rua RUA AMÉRICO BRASILIENSE, 526, Centro, São Bernardo do Campo",-23.7130778,-46.5475538,"Centro, São Bernardo do Campo, São Paulo, Brasil"
"Rua DJALMA DUTRA, 34, Centro, São Bernardo do Campo",-23.7037085,-46.5544754,"Centro, São Bernardo do Campo, São Paulo, Brasil"
"Rua SENHORA MARIA APARECIDA PESSUTTI MILLEGO, 250, Parque Campolim, Sorocaba",-23.52819,-47.46832,"Parque Campolim, Sorocaba, São Paulo, Brasil"
"Rua MARIA CINTO DE BIAGGI, 164, Jardim Santa Rosalia, Sorocaba",-23.4901946,-47.4450244,"Jardim Santa Rosália, Sorocaba, São Paulo, Brasil"
"Rua HAMLETO MENQUINI, 41, PARQUE RES.POTIGUARA, Itu",-23.26417,-47.29917,"Centro, Itu, São Paulo, Brasil"
"Rua A.ESQUINA COM AL.ALICE, 127, Jardim Convenção, Itu",-23.26417,-47.29917,"Centro, Itu, São Paulo, Brasil"
"Rua JOAO JANUARIO PAMPLONA, 154, Jardim Santa Tereza, Itu",-23.2651732,-47.3078431,"Jardim Santa Tereza, Itu, São Paulo, Brasil"
"Praça DA INDEPENDENCIA, 31, Centro, Itu",-23.2646325,-47.2972233,"Centro, Itu, São Paulo, Brasil"
"Rua 7 de Setembro, 49, Centro, Itu",-23.261568,-47.296937,"Centro, Itu, São Paulo, Brasil"
"Rua MARCIA PIERRONI, 78, ITU NOVO CENTRO, Itu",-23.26417,-47.29917,"Centro, Itu, São Paulo, Brasil"
"Avenida MONSENHOR SECKLER, 547, Vila Alcala, Porto Feliz",-23.212394,-47.5151118,"Residencial Rafael Alcalá, Porto Feliz, São Paulo, Brasil"
"Rua AMARO J ANDRADE, 428, JD.MARIA PAULINA, Boituva",-23.28333,-47.67222,"Centro, Boituva, São Paulo, Brasil"
"Rua CARLOS GOMES, 73, VILA ANGELICA, Porto Feliz",-23.2172595,-47.5187883,"Centro, Porto Feliz, São Paulo, Brasil"
"Rua JOAO DE CAMARGO, 352, PQ RES NOVO MUNDO, Boituva",-23.28333,-47.67222,"Centro, Boituva, São Paulo, Brasil"
"Rua DOUTOR CAMPOS, 1285, NOSSA SENHORA DE LOURDES, Cerquilho",-23.1543214,-47.7407472,"Jardim Nossa Senhora de Lourdes, Cerquilho, São Paulo, Brasil"
"Praça DOM PEDRO I, 136, Centro, Itu",-23.2611979,-47.3033708,"Centro, Itu, São Paulo, Brasil"
"Avenida ELIAS MALUF, 1835, Wanel Ville II, Sorocaba",-23.50167,-47.45806,"Centro, Sorocaba, São Paulo, Brasil"
"Rua DOUTOR AALTINO ARANTES, 1014, JD GUADALUPE, Sorocaba",-23.50167,-47.45806,"Centro, Sorocaba, São Paulo, Brasil"
"Praça COMENDADOR NICOLAU SCARPA, 80, Centro, Sorocaba",-23.4980894,-47.4605758,"Vila Santo Antônio, Sorocaba, São Paulo, Brasil"
"Rua DOUTOR LUIZ MENDES DE ALMEIDA, 663, VILA ESPIRITO SANTO, Sorocaba",-23.50167,-47.45806,"Centro, Sorocaba, São Paulo, Brasil"
"Avenida ANGÉLICA, 567, Vila Angélica, Sorocaba",-23.4828323,-47.479987,"Vila Angélica, Sorocaba, São Paulo, Brasil"
"Avenida RIUSAKU KANIZAWA, 865, Lopes de Oliveira, Sorocaba",-23.50167,-47.45806,"Centro, Sorocaba, São Paulo, Brasil"
"Rua Andradina, 178, Cidade Nova I, Itu",-23.26417,-47.29917,"Centro, Itu, São Paulo, Brasil"
"Rua PROFESSOR TOLEDO, 194, Centro, Araçoiaba da Serra",-23.5050525,-47.6182181,"Centro, Araçoiaba da Serra, São Paulo, Brasil"
"Avenida VINTE E SETE DE OUTUBRO, 280, Vila Sorocabana, Mairinque",-23.54583,-47.18333,"Centro, Mairinque, São Paulo, Brasil"
"Rua CAMPINAS, 77, Cidade Nova I, Itu",-23.26417,-47.29917,"Centro, Itu, São Paulo, Brasil"
"Rua DO CRUZEIRO, 37, Centro, Tatuí",-23.3442565,-47.8484795,"Centro, Tatuí, São Paulo, Brasil"
"Avenida WENCESLAU BRAZ, 640, VILA POPULAR, Itapetininga",-23.563419,-48.0152876,"Vila Celia, Itapetininga, São Paulo, Brasil"
"Rua ARY DE ALMEIDA, 71, CAMBUI, Itapetininga",-23.59167,-48.05306,"Centro, Itapetininga, São Paulo, Brasil"
"Avenida PEIXOTO GOMIDE, 395, Centro, Itapetininga",-23.5854455,-48.0491309,"Centro, Itapetininga, São Paulo, Brasil"
"Rua SANTO ANTONIO, 496, Centro, Tatuí",-23.3525263,-47.8533027,"Boqueirão, Tatuí, São Paulo, Brasil"
"Rua TEOFILO ANDRADE GAMA, 3595, JD.ROSA GARCIA, Tatuí",-23.35556,-47.85694,"Centro, Tatuí, São Paulo, Brasil"
"Rua WINSTON CHURCHIL, 416, Parque Bela Vista, Salto",-23.20083,-47.28694,"Jardim Marília, Salto, São Paulo, Brasil"
"Rua SERAPHIN GILBERTO CANDELLO, 1519, JD SAO CONRADO, Indaiatuba",-23.08842,-47.2119,"Cidade Nova I, Indaiatuba, São Paulo, Brasil"
"Rua ADELIO PAZINATTO, 251, JARDIM AEROPORTO I, Itu",-23.26417,-47.29917,"Centro, Itu, São Paulo, Brasil"
"Rua Paulo Eduardo Xavier de Toledo, 510, São Luiz, Itu",-23.2694013,-47.278959,"Bairro São Luís, Itu, São Paulo, Brasil"
